Program Time [s],data 0,data 1,data 2
1828.16,336.65,2050,4050
1829.16,337.1,2050,4050
1830.17,338,2050,4050
1831.18,338.45,2050,4050
1832.19,339.35,2050,4050
1833.19,339.8,2050,4050
1834.21,340.25,2050,4050
1835.21,340.7,2050,4050
1836.22,341.15,2050,4050
1837.23,342.05,2050,4050
1838.24,342.5,2050,4050
1839.24,342.95,2050,4050
1840.25,343.4,2050,4050
1841.26,344.3,2050,4050
1842.26,344.75,2050,4050
1843.27,345.65,2050,4050
1844.28,346.1,2050,4050
1845.29,347,2050,4050
1846.29,347,2050,4050
1847.3,347.9,2050,4050
1848.31,348.35,2050,4050
1849.32,349.25,2050,4050
1850.33,349.7,2050,4050
1851.33,350.15,2050,4050
1852.34,350.6,2050,4050
1853.35,351.5,2050,4050
1854.35,351.95,2050,4050
1855.36,352.4,2050,4050
1856.36,352.85,2050,4050
1857.37,353.3,2050,4050
1858.38,353.75,2050,4050
1859.39,354.65,2050,4050
1860.4,355.1,2050,4050
1861.4,356,2050,4050
1862.41,356.45,2050,4050
1863.42,357.35,2050,4050
1864.42,357.35,2050,4050
1865.43,357.8,2050,4050
1866.43,358.25,2050,4050
1867.44,358.7,2050,4050
1868.45,359.6,2050,4050
1869.45,360.05,2050,4050
1870.46,360.95,2050,4050
1871.46,360.95,2050,4050
1872.47,361.85,2050,4050
1873.47,362.3,2050,4050
1874.48,362.75,2050,4050
1875.49,363.2,2050,4050
1876.5,364.1,2050,4050
1877.51,364.55,2050,4050
1878.52,365.45,2050,4050
1879.52,365.45,2050,4050
1880.53,365.9,2050,4050
1881.54,366.8,2050,4050
1882.55,367.25,2050,4050
1883.56,367.7,2050,4050
1884.56,368.15,2050,4050
1885.57,368.6,2050,4050
1886.57,369.5,2050,4050
1887.58,369.95,2050,4050
1888.59,370.4,2050,4050
1889.6,370.85,2050,4050
1890.61,371.75,2050,4050
1891.61,372.2,2050,4050
1892.62,372.65,2050,4050
1893.63,373.1,2050,4050
1894.64,373.55,2050,4050
1895.65,374.45,2050,4050
1896.65,374.9,2050,4050
1897.65,375.35,2050,4050
1898.66,375.8,2050,4050
1899.66,376.25,2050,4050
1900.67,377.15,2050,4050
1901.67,377.6,2050,4050
1902.68,378.05,2050,4050
1903.69,378.5,2050,4050
1904.7,378.95,2050,4050
1905.71,379.4,2050,4050
1906.72,380.3,2050,4050
1907.72,380.75,2050,4050
1908.73,381.2,2050,4050
1909.73,381.65,2050,4050
1910.74,382.1,2050,4050
1911.75,382.55,2050,4050
1912.76,383,2050,4050
1913.77,383.9,2050,4050
1914.78,383.9,2050,4050
1915.78,384.8,2050,4050
1916.78,385.7,2050,4050
1917.79,385.7,2050,4050
1918.79,386.6,2050,4050
1919.8,387.05,2050,4050
1920.81,387.5,2050,4050
